Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
International Finance Department,HUK 414,Islamic Law,School/General Elective,,2,0,2,3
International Finance Department,HUK 417,Procedure of Judicial Correspondence,School/General Elective,,2,0,2,3
International Finance Department,HUK 418,Industrial Property Law,School/General Elective,,2,0,2,3
International Finance Department,HUK 419,Energy Law,School/General Elective,,2,0,2,3
International Finance Department,HUK 420,Health Law,School/General Elective,,2,0,2,3
International Finance Department,HUK 422,Notification Law,School/General Elective,,2,0,2,3
International Finance Department,HUK 424,Forensic Medicine,School/General Elective,,2,0,2,3
International Finance Department,IE 200,Summer Practice,School/General Elective,,0,0,0,5
International Finance Department,IE 300,Summer Practice,School/General Elective,,0,0,0,5
International Finance Department,IE 316,Engineering Economics,School/General Elective,successfully complete one of the courses (ENGR 252 or MGT 206),2,2,3,5
International Finance Department,IE 321,Deterministic Models in OR,School/General Elective,MATH 205,2,2,3,5
International Finance Department,IE 322,Stochastic Models in OR,School/General Elective,IE 321,2,2,3,5
International Finance Department,IE 324,Simulation,School/General Elective,successfully complete one of the courses (ENGR 251 or MGT 205),2,2,3,5
International Finance Department,IE 333,Quality Engineering and Reliability,School/General Elective,,3,0,3,5
International Finance Department,IE 344,Design and Analysis of Manufacturing Systems,School/General Elective,IE 321,2,2,3,5
International Finance Department,IE 371,Ergonomics,School/General Elective,,3,0,3,5
International Finance Department,IE 426,Nonlinear Programming,School/General Elective,At Least Success 90 Crh,2,2,3,5
International Finance Department,IE 427,Graph Theory,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 434,Data Mining,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 435,Forecasting and Time Series,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 438,Design of Experiments,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 442,Advanced Materials Science for Engineers,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 448,Product Design and Innovation,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 451,Project Management,School/General Elective,Jenior Year Standing,2,2,3,5
International Finance Department,IE 452,Stochastic Processes and Queueing,School/General Elective,At Least Success 90 Crh,0,0,3,5
International Finance Department,IE 458,Scheduling and Sequencing,School/General Elective,At Least Success 90 Crh,3,0,3,5
International Finance Department,IE 463,Finance for Engineers,School/General Elective,At Least Success 90 Crh,3,0,3,5
International Finance Department,IE 488,Agile Methods,School/General Elective,At Least Success 90 Crh,3,0,3,5
International Finance Department,IE 493,Seminars in Industrial Engineering,School/General Elective,At Least Success 90 Crh,3,0,3,5
International Finance Department,IE 494,Special Topics in Industrial Engineering,School/General Elective,At Least Success 90 Crh,3,0,3,5
International Finance Department,IF 303,Securities Analysis,School/General Elective,,0,0,3,0
International Finance Department,IF 304,Data Analysis and Econometric Modelling,School/General Elective,,3,0,3,5
International Finance Department,IF 402,Risk Management in Financial Institutions,School/General Elective,,0,0,3,0
International Finance Department,IF 403,Financial Markets Regulation,School/General Elective,,0,0,3,0
International Finance Department,IF 404,International Trade and Business Law,School/General Elective,,3,0,3,5
International Finance Department,IF 405,Behavioral Finance,School/General Elective,,3,0,3,5
International Finance Department,IF 406,Advanced Portfolio Management,School/General Elective,,3,0,3,5
International Finance Department,IF 407,Insurance and Risk Management,School/General Elective,,3,0,3,5
International Finance Department,IF 408,Turkish Banking Sector and Bank Management,School/General Elective,,3,0,3,5
International Finance Department,IF 409,Issues in Corporate Governance,School/General Elective,,3,0,3,5
International Finance Department,IF 410,Real Estate Finance,School/General Elective,,3,0,3,5
International Finance Department,IF 411,Forecasting Financial Markets,School/General Elective,,3,0,3,5
International Finance Department,INDD 106,Introduction to Industrial Design,School/General Elective,,3,0,3,5
International Finance Department,ISS 201,Practice of The Noble Qur'an Memorization,School/General Elective,,2,1,2,4
International Finance Department,ISS 203,Introdcution to Ulum al-Quran and Tafseer,School/General Elective,"ISS 103, UNI 123",2,1,3,5
International Finance Department,ISS 204,Fiqh of Worship,School/General Elective,"ISS 103, UNI 123",2,2,2,4
International Finance Department,ISS 205,Mustalah al-Haidth (Hadith Terminologies) and its History,School/General Elective,"ISS 103, UNI 123",2,2,3,4
International Finance Department,ISS 206,Introduction to the Studies of Usul al-Fiqh (Islamic Jurisprudance),School/General Elective,"UNI 123, ISS 103",2,0,2,3
International Finance Department,ISS 207,Introduction to Islamic Theology,School/General Elective,"UNI 123, ISS 103",2,0,2,2
International Finance Department,ISS 208,History of Islamic Thought: Early Period,School/General Elective,"UNI 123, ISS 103",3,0,3,4
International Finance Department,ISS 210,History of Islamic Denominations,School/General Elective,UNI 124,2,0,3,4
International Finance Department,ISS 212,History of Islam: 13-20th Centuries,School/General Elective,UNI 124,2,2,3,4
International Finance Department,ISS 216,History of Philosophy,School/General Elective,UNI 124,2,0,2,4
International Finance Department,ISS 251,Islamic History: 7th-13th Centuries,School/General Elective,,3,0,3,5
International Finance Department,ISS 252,Islamic History: 13th-20th Centuries,School/General Elective,,3,2,3,5
International Finance Department,ISS 275,Denominations and Religious Movements in the Muslim World,School/General Elective,,3,0,3,5
International Finance Department,ISS 276,Introduction to Islamic Law (Fiqh),School/General Elective,,3,0,3,5
International Finance Department,ISS 280,Introduction to Islamic Studies,School/General Elective,,3,0,3,5
International Finance Department,ISS 303,Major Themes in The Noble Qur'an,School/General Elective,"ISS 104, UNI 124",3,0,3,5
International Finance Department,ISS 304,Basic Qur’anic Concepts,School/General Elective,ISS 104,3,0,3,4
International Finance Department,ISS 305,The Fiqh of Personal Status Law,School/General Elective,"ISS 104, UNI 124",3,2,4,4
International Finance Department,ISS 306,Usul al-Fiqh: Legal Evidence (Daleel),School/General Elective,"UNI 124, ISS 104",2,1,2,4
International Finance Department,ISS 307,Hadith: The Nine Books of The Hadith,School/General Elective,"UNI 124, ISS 104",2,3,3,4
International Finance Department,ISS 308,The Fiqh of Transactions,School/General Elective,"ISS 104, UNI 124",3,2,4,4
International Finance Department,ISS 309,Major Themes in Claasical Islamic Theology,School/General Elective,"UNI 124, ISS 104",2,0,2,3
International Finance Department,ISS 310,Main hadith books before the fifth century,School/General Elective,"UNI 124, ISS 104",2,3,3,4
International Finance Department,ISS 312,History of Islamic Thought: From the time of Razi to Modernity,School/General Elective,"ISS 104, UNI 124",2,0,2,3
International Finance Department,ISS 314,History of Islamic Arts,School/General Elective,UNI 123,1,0,1,2
International Finance Department,ISS 316,Major Themes in the History of The Islamic Civilization,School/General Elective,UNI 124,2,0,2,3
International Finance Department,ISS 351,Art of Qur’an Recitation,School/General Elective,,2,0,2,3
International Finance Department,ISS 353,Main Topics in the Qur’an,School/General Elective,,2,0,2,3
International Finance Department,ISS 354,Advenced Tafseer Texts,School/General Elective,,2,0,2,3
International Finance Department,ISS 355,Hadith Takhrij and Rijal,School/General Elective,,2,0,2,3
International Finance Department,ISS 356,Hadith Literature,School/General Elective,,2,0,2,3
International Finance Department,ISS 357,Comperative Principles of Islamic Ibadat,School/General Elective,,2,0,2,3
International Finance Department,ISS 358,Comperative Islamic Law II,School/General Elective,,2,0,2,3
International Finance Department,ISS 359,Comperative Islamic Law I,School/General Elective,,2,0,2,3
International Finance Department,ISS 360,Classical Kalam Texts II,School/General Elective,,2,0,2,3
International Finance Department,ISS 361,Classical Kalam Texts I,School/General Elective,,2,0,2,3
International Finance Department,ISS 362,History of Islamic Thought III,School/General Elective,"ISS 104, UNI 124",2,0,2,3
International Finance Department,ISS 371,Major Themes in Classical Islamic Theology,School/General Elective,,2,0,2,3
International Finance Department,ISS 372,Major Themes of Islamic Civilization,School/General Elective,,2,0,2,3
